ssgrp_nom,meal_name,test_name,test_value,meal_value
plats composés,Lasagnes ou cannelloni à la viande (bolognaise),Phosphore P,-45,"82,9"
plats composés,"Pâtes à la bolognaise (spaghetti, tagliatelles…)",Phosphore P,-45,"58,3"
plats composés,Riz cantonais,Phosphore P,-45,"60,6"
plats composés,"Ravioli chinois à la vapeur à la crevette, cuit",Phosphore P,-45,65
plats composés,Gratin de pâtes,Phosphore P,-45,137
plats composés,"Lasagnes ou cannellonis aux légumes, préemballées, cuits",Phosphore P,-45,-
plats composés,"Pâtes à la carbonara (spaghetti, tagliatelles…)",Phosphore P,-45,"86,2"
plats composés,"Lasagnes ou cannellonis au poisson, préemballées",Phosphore P,-45,-
plats composés,"Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, cuites",Phosphore P,-45,"88,5"
plats composés,"Couscous de légumes, préemballé",Phosphore P,-45,-
plats composés,"Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, cuites",Phosphore P,-45,93
plats composés,"Pâtes fraîches farcies (ex : raviolis, totellinis), à la viande (ex : bolognaise), préemballées, crues",Phosphore P,-45,-
plats composés,"Pâtes fraîches farcies (ex : raviolis, tortellinis), à la viande (ex : bolognaise), préemballées, cuites",Phosphore P,-45,"85,5"
plats composés,"Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, préemballées, crues",Phosphore P,-45,165
plats composés,"Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, crues",Phosphore P,-45,-
plats composés,Nouilles sautées/poêlées aux crevettes,Phosphore P,-45,54
plats composés,"Riz blanc, avec poulet, préemballé, cuit",Phosphore P,-45,-
plats composés,"Riz blanc, avec légumes et viande, préemballé, cuit",Phosphore P,-45,-
plats composés,"Risotto, aux légumes, préemballé",Phosphore P,-45,-
plats composés,"Risotto, aux fruits de mer, préemballé",Phosphore P,-45,-
plats composés,"Risotto, aux fromages, préemballé",Phosphore P,-45,-
plats composés,"Raviolis aux légumes, sauce tomate, appertisés",Phosphore P,-45,32
plats composés,"Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, cuites",Phosphore P,-45,75
plats composés,"Pâtes en sauce aux fromages (spaghetti, tagliatelles…), préemballées",Phosphore P,-45,-
plats composés,"Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, crues",Phosphore P,-45,-
plats composés,"Pâtes fraîches farcies (ex : raviolis, tortellinis), cuites (aliment moyen)",Phosphore P,-45,"86,7"
plats composés,"Feuille de vigne farcie au riz ou dolmas, égouttée, préemballée",Phosphore P,-45,42
plats composés,"Lasagnes ou cannellonis aux légumes, préemballés, cuits",Phosphore P,-45,85
plats composés,"Lasagnes ou cannellonis aux légumes et au fromage de chèvre, préemballés, cuits",Phosphore P,-45,40
plats composés,"Lasagnes ou cannellonis au fromage et aux épinards, préemballés",Phosphore P,-45,-
plats composés,"Aligot (purée de pomme de terre à la tomme fraîche), préemballé",Phosphore P,-45,-
plats composés,"Fromage de chèvre pané à dorer, préemballé",Phosphore P,-45,160
plats composés,Soufflé au fromage,Phosphore P,-45,196
plats composés,"Tartiflette, préemballée",Phosphore P,-45,95
plats composés,Gougère,Phosphore P,-45,297
plats composés,"Préparation à base de fromage(s) pour fondue savoyarde, préemballée",Phosphore P,-45,400
plats composés,Fromage pané au jambon,Phosphore P,-45,202
plats composés,Escalope végétale ou steak à base de soja,Phosphore P,-45,230
plats composés,Tempeh,Phosphore P,-45,190
plats composés,"Nuggets de blé (sans soja), préemballé",Phosphore P,-45,82
plats composés,"Nuggets soja et blé (ne convient pas aux véganes ou végétaliens), préemballé",Phosphore P,-45,150
plats composés,"Nuggets soja et blé (convient aux véganes ou végétaliens), préemballé",Phosphore P,-45,160
plats composés,Pané soja et blé (ne convient pas aux véganes ou végétaliens),Phosphore P,-45,140
plats composés,"Bâtonnet pané soja et blé (convient aux véganes ou végétaliens), préemballée",Phosphore P,-45,170
plats composés,"Escalope panée, soja, blé et fromage, type cordon bleu, préemballée",Phosphore P,-45,190
plats composés,"Raviolis au tofu, à la sauce tomate, préemballés",Phosphore P,-45,46
plats composés,"Galette de céréales au fromage (sans soja), préemballé",Phosphore P,-45,350
plats composés,"Galette de céréales aux légumes (sans soja), préemballé",Phosphore P,-45,130
plats composés,"Boulette végétale au soja et/ou blé, préemballée",Phosphore P,-45,170
plats composés,"Galette ou pavé aux lentilles, soja et légumes, préemballé",Phosphore P,-45,150
plats composés,"Galette ou pavé au blé (seitan) et légumes, préemballé",Phosphore P,-45,100
plats composés,"Galette ou pavé au blé et soja (convient aux véganes ou végétaliens), préemballé",Phosphore P,-45,200
plats composés,"Galette ou pavé au blé et soja (ne convient pas aux véganes ou végétaliens), préemballé",Phosphore P,-45,150
plats composés,"Galette ou pavé au soja et fromage, préemballé",Phosphore P,-45,280
plats composés,"Galette ou pavé au soja et légumes, préemballé",Phosphore P,-45,180
plats composés,"Galette ou pavé au soja, fromage et légumes, préemballé",Phosphore P,-45,210
plats composés,"Haché végétal à base de soja, préemballé",Phosphore P,-45,170
,,Phosphore P,-45,
"pizzas, tartes et crêpes salées","Pizza au fromage ou Pizza margherita, préemballée",Phosphore P,-45,286
"pizzas, tartes et crêpes salées","Quiche lorraine, préemballée",Phosphore P,-45,145
"pizzas, tartes et crêpes salées","Crêpe ou Galette fourrée béchamel jambon, préemballée",Phosphore P,-45,"74,6"
"pizzas, tartes et crêpes salées","Crêpe ou Galette fourrée béchamel jambon fromage, préemballée",Phosphore P,-45,118
"pizzas, tartes et crêpes salées","Crêpe ou Galette fourrée béchamel champignon, préemballée",Phosphore P,-45,-
"pizzas, tartes et crêpes salées","Tarte aux légumes, préemballée",Phosphore P,-45,-
"pizzas, tartes et crêpes salées","Pizza jambon fromage, préemballée",Phosphore P,-45,170
"pizzas, tartes et crêpes salées","Tarte au fromage, préemballée",Phosphore P,-45,151
"pizzas, tartes et crêpes salées","Tarte à la provençale, préemballée",Phosphore P,-45,"80,8"
"pizzas, tartes et crêpes salées","Pizza à la viande, type bolognaise, préemballée",Phosphore P,-45,211
"pizzas, tartes et crêpes salées",Burritos,Phosphore P,-45,170
"pizzas, tartes et crêpes salées",Fajitas,Phosphore P,-45,210
"pizzas, tartes et crêpes salées","Pizza au chorizo ou salami, préemballée",Phosphore P,-45,-
"pizzas, tartes et crêpes salées","Pizza aux fruits de mer, préemballée",Phosphore P,-45,-
"pizzas, tartes et crêpes salées","Pizza au saumon, préemballée",Phosphore P,-45,160
"pizzas, tartes et crêpes salées","Pizza au chèvre et lardons, préemballée",Phosphore P,-45,-
"pizzas, tartes et crêpes salées","Pizza aux légumes ou Pizza 4 saisons, préemballée",Phosphore P,-45,130
"pizzas, tartes et crêpes salées","Pizza champignons fromage, préemballée",Phosphore P,-45,-
"pizzas, tartes et crêpes salées","Pizza 4 fromages, préemballée",Phosphore P,-45,176
"pizzas, tartes et crêpes salées",Pizza (aliment moyen),Phosphore P,-45,181
"pizzas, tartes et crêpes salées","Pissaladière, préemballée",Phosphore P,-45,-
"pizzas, tartes et crêpes salées","Tarte à l'oignon, préemballée",Phosphore P,-45,-
"pizzas, tartes et crêpes salées","Pizza jambon fromage champignons ou pizza royale, reine ou regina, préemballée",Phosphore P,-45,174
"pizzas, tartes et crêpes salées","Crêpe ou Galette fourrée béchamel fromage, préemballée",Phosphore P,-45,162
"pizzas, tartes et crêpes salées","Flammenkueche ou Tarte flambée aux lardons, préemballée",Phosphore P,-45,102
"pizzas, tartes et crêpes salées","Crêpe ou Galette fourrée béchamel jambon fromage champignon, préemballée",Phosphore P,-45,86
"pizzas, tartes et crêpes salées","Tarte ou Tourte aux poireaux, préemballée",Phosphore P,-45,110
"pizzas, tartes et crêpes salées","Tarte au saumon, préemballée",Phosphore P,-45,111
"pizzas, tartes et crêpes salées","Tourte au riesling, préemballée",Phosphore P,-45,-
"pizzas, tartes et crêpes salées","Tarte à la tomate, préemballée",Phosphore P,-45,64
"pizzas, tartes et crêpes salées","Crêpe ou Galette complète (oeuf, jambon, fromage), préemballée",Phosphore P,-45,280
"pizzas, tartes et crêpes salées","Tarte aux noix de Saint-Jacques, préemballée",Phosphore P,-45,-
"pizzas, tartes et crêpes salées","Pastilla au poulet, préemballée",Phosphore P,-45,-
"pizzas, tartes et crêpes salées","Pizza aux lardons, oignons et fromage, préemballée",Phosphore P,-45,-
"pizzas, tartes et crêpes salées","Crêpe ou Galette aux noix de St Jacques, préemballée",Phosphore P,-45,-
"pizzas, tartes et crêpes salées",Tarte ou quiche salée (aliment moyen),Phosphore P,-45,123
"pizzas, tartes et crêpes salées","Crêpe ou Galette fourrée béchamel champignon, cuite, préemballée",Phosphore P,-45,100
"pizzas, tartes et crêpes salées","Tarte au maroilles ou Flamiche au maroilles, préemballée",Phosphore P,-45,-
"pizzas, tartes et crêpes salées","Crêpe ou Galette fourrée au poisson et / ou fruits de mer, préemballée",Phosphore P,-45,-
"pizzas, tartes et crêpes salées","Ficelle picarde, préemballée",Phosphore P,-45,-
"pizzas, tartes et crêpes salées","Tarte épinard chèvre, préemballée",Phosphore P,-45,98
"pizzas, tartes et crêpes salées","Tielle sétoise, préemballée",Phosphore P,-45,-
"pizzas, tartes et crêpes salées","Pizza au thon, préemballée",Phosphore P,-45,-
"pizzas, tartes et crêpes salées","Pizza kebab, préemballée",Phosphore P,-45,-
"pizzas, tartes et crêpes salées","Pizza au poulet, préemballée",Phosphore P,-45,-
"pizzas, tartes et crêpes salées","Pizza type raclette ou tartiflette, préemballée",Phosphore P,-45,-
sandwichs,"Focaccia, garnie",Phosphore P,-45,-
sandwichs,"Fougasse, garnie",Phosphore P,-45,"88,9"
sandwichs,"Croque-monsieur, fait maison",Phosphore P,-45,200
sandwichs,"Hot-dog, préemballé",Phosphore P,-45,150
sandwichs,"Hamburger, provenant de fast food",Phosphore P,-45,110
sandwichs,"Cheeseburger, provenant de fast food",Phosphore P,-45,142
sandwichs,"Double cheeseburger, provenant de fast food",Phosphore P,-45,161
sandwichs,"Burger au poisson, provenant de fast food",Phosphore P,-45,140
sandwichs,"Sandwich grec ou Kebab, pita, crudités",Phosphore P,-45,-
sandwichs,"Sandwich grec ou Kebab, baguette, crudités",Phosphore P,-45,117
sandwichs,"Sandwich baguette, thon, crudités (tomate, salade), mayonnaise",Phosphore P,-45,90
sandwichs,"Sandwich panini, jambon cru, mozzarella, tomates",Phosphore P,-45,-
sandwichs,"Sandwich baguette, jambon, oeuf dur, crudités (tomate, salade), beurre",Phosphore P,-45,108
sandwichs,"Sandwich baguette, poulet, crudités (tomate, salade), mayonnaise",Phosphore P,-45,"96,7"
sandwichs,"Sandwich baguette, jambon emmental, préemballé",Phosphore P,-45,-
sandwichs,"Sandwich baguette, saumon fumé, beurre",Phosphore P,-45,118
sandwichs,"Sandwich baguette, thon, maïs, crudités, préemballé",Phosphore P,-45,-
sandwichs,Burger au poulet,Phosphore P,-45,170
sandwichs,Pan bagnat,Phosphore P,-45,"59,8"
sandwichs,"Sandwich baguette, jambon, beurre",Phosphore P,-45,152
sandwichs,"Sandwich baguette, camembert, beurre",Phosphore P,-45,150
sandwichs,"Sandwich baguette, pâté, cornichons",Phosphore P,-45,119
sandwichs,"Sandwich baguette, saucisson, beurre",Phosphore P,-45,129
sandwichs,"Sandwich baguette, jambon, emmental, beurre",Phosphore P,-45,242
sandwichs,Sandwich (aliment moyen),Phosphore P,-45,
sandwichs,"Toasts ou Canapés salés, garnitures diverses, préemballés",Phosphore P,-45,181
sandwichs,"Sandwich baguette, crudités diverses, mayonnaise",Phosphore P,-45,"75,9"
sandwichs,"Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise",Phosphore P,-45,108
sandwichs,"Sandwich baguette, oeuf, crudités (tomate, salade), mayonnaise",Phosphore P,-45,101
sandwichs,"Sandwich baguette, porc, crudités (tomate, salade), mayonnaise",Phosphore P,-45,125
sandwichs,"Sandwich baguette, merguez, ketchup moutarde",Phosphore P,-45,100
sandwichs,"Sandwich baguette, salami, beurre",Phosphore P,-45,133
sandwichs,Croque-madame,Phosphore P,-45,189
sandwichs,Sandwich baguette (aliment moyen),Phosphore P,-45,
sandwichs,"Sandwich pain de mie, garnitures diverses, préemballé",Phosphore P,-45,-
sandwichs,"Croque-monsieur, préemballé",Phosphore P,-45,259
sandwichs,"Sandwich pain de mie complet, jambon, crudités, fromage optionnel, préemballé",Phosphore P,-45,-
sandwichs,"Sandwich pain de mie complet, thon, crudités, mayonnaise, préemballé",Phosphore P,-45,-
sandwichs,"Sandwich pain de mie complet, jambon, fromage, préemballé",Phosphore P,-45,-
sandwichs,"Sandwich pain de mie complet, poulet, crudités, mayonnaise, préemballé",Phosphore P,-45,-
feuilletées et autres entrées,"Cake salé (garniture : fromage, légumes, viande, poisson, volaille, etc.), préemballé",Phosphore P,-45,-
feuilletées et autres entrées,"Samossa ou Samoussa, préemballé, cuit",Phosphore P,-45,95
feuilletées et autres entrées,Feuilleté au poisson et / ou fruits de mer,Phosphore P,-45,66
