ssgrp_nom,Food name,Calcium Ca,Cuivre Cu,Fer Fe,Iode I,Manganèse Mn,Phosphore P,Potassium K,Sélénium Se,Sodium Na,Zinc Zn,Vitamine E,Vitamine C ,Vitamine B6 ,Vitamine B9 ,Vitamine B12 
légumes,"Poireau, cru","50,7","0,087","1,5","1,1","0,34","40,3",208,"0,56","14,5","0,21","0,74","18,5","0,24",73,0
légumes,"Poivron, vert, jaune ou rouge, cru","7,7","< 0,1","0,4",< 5,"0,1","22,5",155,"0,1","8,4","0,13","1,44",121,"0,38","40,7",-
légumes,"Potiron, cru",21,"0,13","0,8",-,"0,13",44,340,-,1,"0,32","1,06",9,"0,061",16,0
légumes,"Radis rouge, cru",15,"< 0,01","0,4",< 20,"0,04",20,250,< 20,16,"0,08","< 0,08","12,2","0,063","95,4",0
légumes,"Tomate, crue","8,14","0,029","0,12","0,2","0,066","26,6",256,< 10,"3,22","0,087","0,66","15,5","0,082","22,7",0
légumes,"Artichaut, cru",52,"0,23","1,19","0,5","0,26","81,2",387,"0,23","60,5","0,49","0,27","11,7","0,11",68,0
légumes,"Aubergine, crue","8,7","0,081","0,32","0,15","0,24","27,2",235,"0,2","2,5","0,16","0,17","2,1","0,082","24,5",0
légumes,"Cardon, cru",70,"0,23","0,7","0,095","0,26",23,400,"0,2",170,"0,17","0,19",2,"0,12",68,0
légumes,"Céleri-rave, cru",40,"0,11","0,28",< 20,"0,2",56,500,< 20,34,"0,33","0,12","2,87","0,2",39,0
légumes,"Champignon de Paris ou champignon de couche, cru","6,03","0,35","0,31",1,"0,076","96,6",364,"6,47",39,"0,5","0,02","3,09","0,1","34,5",0
légumes,"Brocoli, cru","45,9","0,059","0,76","0,8","0,4","76,5",357,"0,6",19,"0,4","1,04",106,"0,17",153,0
légumes,"Chou de Bruxelles, cru","32,3","0,062","1,15","0,25","0,3","76,4",436,"1,1","16,5","0,43","0,89",103,"0,25","95,5",0
légumes,"Épinard, cru",114,"0,1","3,61","3,4","1,3","45,2",504,"0,1","66,7","0,82","2,47","41,1","0,21",207,0
légumes,"Haricot vert, cru","48,5","0,063","1,02","0,8","0,23","38,5",224,"0,3","3,85","0,32","0,36","13,6","0,12","48,5",0
légumes,"Navet, pelé, cru",40,"0,063","0,4","0,5","0,1","38,5",237,"1,25",42,"0,25","0,03","18,5","0,085","17,5",0
légumes,"Chou-rave, cru",24,"0,13","0,4","0,71","0,14",46,350,"0,47",20,"0,03","0,48","55,1","0,15",16,0
légumes,"Chou vert, cru","96,2","0,049","0,93","0,3","0,17","32,7",231,"1,86","25,8","0,22","0,16",69,"0,15","67,9",0
légumes,"Haricot vert, surgelé, cru","51,5","0,063","0,85","0,8","0,29","40,8",186,"0,3","3,86","0,31","0,24",18,"0,068","39,5",0
légumes,"Petits pois, crus","27,5","0,14","1,64","0,15","0,4",119,272,"1,02","3,5",1,"0,075","41,5","0,16",45,0
légumes,"Asperge, pelée, crue",22,"0,12","1,32","0,15","0,16",52,202,1,"4,2","0,49","0,72","8,8","0,076",101,0
légumes,"Chou-fleur, surgelé, cru","21,7","0,031","0,51","0,3","0,2","41,6",193,"0,8","20,3","0,17","0,07","51,9","0,12",64,0
légumes,"Épinard, surgelé, cru",159,"0,12","2,28","3,4","0,53","47,7",398,"0,1","46,5","0,49","2,9","21,4","0,18",183,0
légumes,"Petits pois, surgelés, crus","27,3","0,15","1,53","0,15","0,35","86,9",158,"1,02","21,7","0,86","0,025","20,8","0,08",87,0
légumes,"Poivron vert, cru","6,2","0,04","0,22",< 20,"0,07",17,160,< 20,< 5,"0,11","0,28","26,9","0,21","55,1",0
légumes,"Poivron rouge, cru","4,8","0,04","0,21",< 20,"0,08",19,180,< 20,< 5,"0,14","3,45",121,"0,31","81,8",0
légumes,"Radis noir, cru",39,"0,01","0,23",< 20,"0,06",32,300,< 20,23,"0,15","< 0,08","9,58","0,077","17,3",-
légumes,"Scarole, crue",52,"0,099","0,83","0,4","0,42",28,314,"0,6",22,"0,79",traces,"6,5","0,02",142,0
légumes,"Betterave rouge, crue","22,1","0,098","0,7","0,5","0,46","38,1",328,"0,2","60,5","0,54","0,06","6,45","0,059",100,0
légumes,"Échalote, crue","9,5","0,07","0,12",< 20,"0,08",46,220,< 20,5,"0,2","< 0,08",8,"0,1","10,2",0
légumes,"Mâche, crue",41,"0,1","0,4",< 20,"0,28",30,330,< 20,< 5,"0,14","0,22","2,38","0,096","45,5",0
légumes,"Légumes, mélange surgelé, crus",33,"0,093","0,98",< 5,"0,24",59,212,-,39,"0,45",-,"13,7","0,096",29,"< 0,08"
légumes,"Champignon, chanterelle ou girolle, crue","8,33","0,39","3,52","3,3","0,28","53,5",449,"0,9",5,"0,84","0,06","5,5","0,042",2,0
légumes,"Champignon, morille, crue",43,"0,63","1,2",-,"0,59",194,411,-,21,"2,03","0,05",5,"0,14",9,-
légumes,"Champignon, truffe noire, crue",24,-,"3,5",-,-,62,447,-,66,"3,8","0,12",1,"0,18",44,-
légumes,"Maïs doux, en épis, surgelé, cru","4,18","0,15","0,59","0,5","0,25",108,276,4,4,"1,05","0,37","6,9","0,18","36,5",0
légumes,"Oseille, crue",44,"0,13","2,4","0,4","0,35",63,390,"0,9",4,"0,2",-,48,"0,12",13,0
légumes,"Champignon, pleurote, crue",5,"0,24","1,17",-,"0,11",120,420,-,"13,5","0,77",0,4,"0,11",38,0
légumes,"Chou blanc, cru",59,"0,02","0,3",< 20,"0,1",33,240,20,13,"0,16","< 0,08","8,88","0,17","69,6",0
légumes,"Tomate verte, crue",13,"0,09","0,51",-,"0,1",28,204,-,13,"0,07","0,38","23,4","0,081",9,0
légumes,"Batavia, crue",26,"0,04","0,39",< 20,"0,28",17,200,< 20,6,"0,16","< 0,08","4,38","0,051","65,6",-
légumes,"Haricot de Lima, cru",34,"0,32","3,14",-,"1,22",136,467,-,8,"0,78","0,32","23,4","0,2",34,0
légumes,"Courge musquée, pulpe, crue","18,3",-,"0,43","0,5",-,"18,3",235,-,-,-,-,"4,6",-,-,-
légumes,"Potimarron, pulpe, cru","18,5","0,029","0,27","0,15","0,038",33,243,"< 3,35","29,7","0,11","0,1",5,"0,05",36,0
légumes,"Courge hokkaïdo, pulpe, crue","24,7",-,"0,4",-,-,"32,8",436,-,-,-,-,"13,9",-,-,-
légumes,"Courge melonnette, pulpe, crue","18,3",-,"0,48",-,-,"23,5",359,-,-,-,-,"9,7",-,-,-
légumes,"Courge doubeurre (butternut), pulpe, crue",48,"0,072","0,7",-,"0,2",33,352,-,4,"0,15","1,44",21,"0,15",27,0
légumes,"Courge, crue","28,5","0,061","0,6","0,15","0,17","30,5",312,"0,24","4,5","0,26","0,12","14,7","0,13",34,0
légumes,"Courge spaghetti, pulpe, crue",23,"0,037","0,31",-,"0,13",12,108,-,17,"0,19","0,13","2,1","0,1",12,0
légumes,"Piment, cru",14,"0,15","1,12",-,"0,21","55,3",331,-,8,"0,28","0,69",155,"0,39",23,0
légumes,"Champignon, oronge vraie, crue",17,-,"1,1",-,-,89,320,-,5,"0,4","0,12",3,"0,18",44,-
légumes,"Champignon, cèpe, cru",23,"0,23",1,-,"0,17",129,361,-,5,"0,4","0,04",3,"0,18",44,-
légumes,"Champignon, rosé des prés, cru",10,-,"1,2",-,-,102,320,-,5,"0,4","0,12",4,"0,18",44,-
légumes,"Chicorée rouge, crue",36,-,"0,3",-,-,30,180,-,7,"0,2","0,57",10,"0,07",13,-
légumes,"Chicorée verte, crue","82,5","0,06","4,15",-,"0,3",45,498,-,"16,5","0,32","0,57",46,"0,02",29,-
légumes,"Citrouille, pulpe, crue",21,"0,13","0,8",-,"0,13",44,340,-,1,"0,32","1,06",9,"0,061",16,0
légumes,"Chou chinois ou pak-choi ou pé-tsai, cru","86,4","0,021","0,68","0,3","0,17","37,8",249,"0,29",51,"0,17","0,11","40,3","0,19","73,6",0
légumes,"Poivron jaune, cru","8,6","0,07","0,21",< 20,"0,11",23,220,< 20,< 5,"0,23","1,76",121,"0,079","43,3",0
légumes,"Laitue romaine, crue",33,"0,048","0,97","1,25","0,16",30,247,1,8,"0,23","0,13",14,"0,074",136,0
légumes,"Tomate cerise, crue","6,6","0,05","0,37",< 20,"0,16",31,330,< 20,< 5,"0,18","0,4","21,8","0,096","17,6",0
légumes,"Pois mange-tout ou pois gourmand, cru","40,7","0,079","2,08",-,"0,24","56,8",200,-,4,"0,27","0,39",60,"0,16",42,0
légumes,"Panais, cru","45,5","0,13","0,7","0,25","0,48","82,5",505,"0,2",8,"0,72","1,9","11,5","0,1",67,0
légumes,"Haricot mungo germé ou pousse de ""soja"", cru",16,"0,1","0,44",< 20,"0,12",43,120,< 50,"17,1","0,32","0,095","4,13","0,06","61,3",0
légumes,"Tomate côtelée ou coeur de boeuf, crue","7,2","0,03","0,14",< 20,"0,12",19,210,< 20,< 5,"0,09","0,36","11,7","0,057","65,4",-
légumes,"Haricot beurre, cru",41,"0,07","1,07","0,6","0,21",38,209,-,6,"0,32","0,45","18,7","0,087","68,5",0
légumes,"Salsifis noir, ou scorsonère d'Espagne, cru","24,1","0,12","0,7","0,2",-,94,387,-,"4,5",-,"0,8",3,"0,07",-,0
légumes,"Bambou, pousse, crue","15,5","0,19","0,4",-,"0,26","54,5",517,-,4,"1,1",1,"7,5","0,24",7,0
légumes,"Cresson alénois, cru","75,5","0,13","1,8","0,9","0,55",76,368,-,"38,5","0,35","2,15",52,"0,27",95,0
légumes,"Laitue iceberg, crue","17,4","0,029","0,43","0,6","0,19","23,6",179,"0,15","9,48","0,21","0,22","4,72","0,048",48,0
légumes,"Rutabaga, cru","45,2","0,031","0,35","0,5","0,14","47,8",349,0,11,"0,21","0,3",33,"0,11",24,0
légumes,"Haricot beurre, surgelé, cru",51,"0,049","0,78","0,4","0,39",32,186,-,"2,5","0,26",-,16,"0,042",15,0
légumes,"Brocoli, surgelé, cru","48,5","0,036","0,77",-,"0,26","54,5",231,"2,8","21,4","0,41","1,29","62,3","0,18","80,5",0
légumes,"Chou de Bruxelles, surgelé, cru",34,"0,043","0,82","0,25","0,29","65,5",427,"1,1",14,"0,37","0,34","77,5","0,19","93,5",0
légumes,"Carotte, surgelée, crue","34,9","0,074","0,41",-,"0,17",33,235,-,51,"0,33","0,57","4,32","0,095",10,0
légumes,"Concombre, pulpe, cru",16,"0,02","0,14",< 20,"0,11",25,140,< 20,< 5,"0,13","< 0,08","3,52","0,042","7,2",0
légumes,"Petits pois et carottes, surgelés, crus","29,5","0,089","1,2",-,"0,24",60,194,-,"31,3","0,52",-,"13,6","0,1",36,0
légumes,"Roquette, crue",160,"0,076","1,46",-,"0,32",52,369,-,27,"0,47","0,43",15,"0,073",97,0
légumes,"Chou frisé, cru",185,"0,8","1,74","1,4","0,58",83,378,"2,1","36,5","0,59","3,47",145,"0,31",101,0
légumes,"Champignon de Paris ou champignon de couche, surgelé, cru",10,-,"0,8",-,-,-,-,-,5,-,-,4,-,-,-
légumes,"Courgette, pulpe et peau, surgelée, crue",20,"0,05","0,64",-,"0,24",28,218,-,"8,36","0,21","0,12","9,32","0,05",10,0
légumes,"Crosne, surgelé, cru",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
légumes,"Artichaut, fond, surgelé, cru",-,-,-,-,-,-,-,-,45,-,-,-,-,-,-
légumes,"Maïs doux, surgelé, cru",4,"0,051","0,68",-,"0,16",87,294,-,5,"0,7","0,09","7,2","0,18",40,0
légumes,"Navet, surgelé, cru",23,"0,045","0,7",-,"0,071",20,137,-,25,"0,14",-,"4,4","0,048",8,0
légumes,"Oignon, surgelé, cru","26,5","0,035","0,4",-,"0,1","22,5",133,-,"9,43","0,095","0,045","5,65","0,084",19,0
légumes,"Poireau, surgelé, cru",63,-,"0,8",-,-,-,-,-,"6,75",-,-,26,-,-,-
légumes,"Salsifis, surgelé, cru",-,-,-,-,-,-,-,-,16,-,-,-,-,-,-
légumes,"Oignon rouge, cru",22,"0,05","0,19",< 20,"0,12",29,190,< 20,< 5,"0,21","0,12","4,09","0,049","10,9",-
légumes,"Oignon jaune, cru",13,"0,04","0,1",< 20,"0,07",28,150,< 20,< 5,"0,1","< 0,08","2,08","0,064",13,-
légumes,"Légumes pour potages, surgelés, crus",37,-,1,-,-,-,-,-,"16,9",-,-,25,-,-,-
légumes,"Julienne ou brunoise de légumes, surgelée, crue","43,5",-,"0,55",-,-,-,-,-,"54,5",-,-,9,-,-,-
légumes,"Légumes pour ratatouille, surgelés",-,-,-,-,-,-,-,-,34,-,-,-,-,-,-
légumes,"Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons)",-,-,-,-,-,-,-,-,"16,7",-,-,16,-,-,-
légumes,"Haricot plat, cru",60,-,"0,8",-,-,-,-,-,2,-,-,16,-,-,-
légumes,"Épinard, jeunes pousses pour salades, cru",110,"0,08","1,8",60,"0,62",32,580,< 20,25,"0,43","0,56","6,04","0,15","78,6",-
légumes,"Mesclun ou salade, mélange de jeunes pousses",-,-,-,-,-,-,-,-,19,-,-,-,-,-,-
légumes,"Tomate ronde, crue","6,8","0,02","0,17",< 20,"0,1",20,210,< 20,< 5,"0,08","0,38","16,3","0,07","13,5",-
légumes,"Asperge, verte, crue","22,4",-,1,-,-,"85,5",267,-,"3,85",-,-,"15,5","0,15",150,0
légumes,"Chou romanesco ou brocoli à pomme, cru","34,5","0,041","0,92",-,"0,25",62,300,-,"15,5","0,64","0,04","70,6","0,22",57,0
légumes,"Asperge, blanche ou violette, pelée, crue","16,6",-,-,-,-,"42,5",169,-,"7,7",-,-,18,"0,072",150,0
légumes,"Salicorne (Salicornia sp.), fraîche","34,3","0,07","4,89",0,"0,7","19,5",119,-,1020,"0,48","0,51",-,-,-,-
légumes,"Salade sucrine, crue",23,"0,05","0,27",-,"0,12",30,230,< 20,< 5,"0,18","0,11","2,32","0,068","57,2",-
légumes,"Salade feuille de chêne, crue",33,"0,04","0,82",< 20,"0,19",20,280,< 20,9,"0,18","< 0,08","2,16","0,069","36,7",-
légumes,"Légumes pour couscous, surgelés, crus","35,6",-,"0,8",-,-,-,-,-,39,-,-,"27,4",-,-,-
légumes,"Tomate grappe, crue","6,6","0,02","0,18",< 20,"0,12",20,200,< 20,< 5,"0,08","0,45","18,2","0,07",15,-
légumes,"Salade verte, crue, sans assaisonnement","35,3","0,061","0,64",< 5,"0,22","23,5",260,"3,23","18,3","0,18","0,17","1,95","0,052","55,3",0
légumes,"Banane plantain, crue",3,"0,081","0,6","2,5",traces,34,499,-,4,"0,14","0,14","18,4","0,3",22,0
légumes,"Chayote ou christophine ou chouchou, bouillie/cuite à l'eau",13,"0,11","0,22",-,"0,17",29,173,-,1,"0,31",-,8,"0,12",18,0
légumes,"Artichaut, cuit","42,9","0,082","0,67",< 5,"0,14",73,427,< 10,60,"0,29","0,19","9,1","0,081",89,0
légumes,"Asperge, bouillie/cuite à l'eau","19,9","0,074","0,74","0,25","0,049","51,5",198,"< 3,35","8,5","0,2","1,35","16,1","0,05",142,0
légumes,"Aubergine, cuite","20,1","0,058","0,25",1,"0,12",15,123,"< 3,35","5,95","0,098","0,41","1,3","0,086",14,0
légumes,"Betterave rouge, cuite",24,"0,07","0,29",< 20,"0,31",18,320,< 20,90,"0,29","< 0,08","< 0,5","0,031","12,4",0
légumes,"Bette ou blette, cuite",56,"0,04","0,35",< 20,"0,16",11,240,< 20,"99,6","0,08","0,41","< 0,5","0,024","43,2",0
légumes,"Brocoli, cuit","43,3","< 0,1","< 0,1",< 10,"< 0,1",51,125,"< 2,58",39,"< 0,1","0,9","23,9","< 0,05","75,1",0
légumes,"Carotte, appertisée, égouttée",25,"0,1","0,64",2,"0,45",24,179,"0,85",233,"0,26","0,74","2,7","0,11",9,0
légumes,"Carotte, cuite","31,5","< 0,1","< 0,1",< 10,"< 0,1",18,"96,4","< 2,97","20,2","< 0,1","0,56",< 1,"< 0,05","23,3",0
légumes,"Champignon, tout type, appertisé, égoutté","18,9","0,15","0,79",2,"0,035",66,129,"< 2,2",425,"0,51","0,01",0,"0,061",12,0
légumes,"Chou de Bruxelles, cuit","36,2","< 0,1","< 0,1",< 10,"< 0,1",65,324,-,"9,7","< 0,1","0,43","56,4","0,06",113,0
légumes,"Chou vert, cuit","69,7","0,098","0,28","1,45","0,18",33,190,"3,56",39,"0,22","0,14","27,3","0,13",38,0
légumes,"Chou-fleur, cuit","19,2","0,05","0,31",< 5,"0,12",34,238,< 10,< 39,"0,22","0,07","9,7","< 0,05","78,8",0
légumes,"Coeur de palmier, appertisé, égoutté",58,"0,13","3,13","0,5","1,39",65,177,-,316,"1,15",-,"7,9","0,022",39,0
légumes,"Courgette, pulpe et peau, cuite","19,3","0,085","0,32",< 5,"0,089",65,238,< 10,39,"0,22","0,12","2,9","< 0,05","32,8",0
légumes,"Céleri branche, cuit","53,3","0,059","0,42","0,3","0,11",25,284,"< 2,58",91,"0,077","0,35","6,1","0,086",33,0
légumes,"Céleri-rave, cuit","52,4","0,12","0,32",< 10,"0,27",58,306,-,"58,2","0,24","0,22","2,7","0,07","67,4",0
légumes,"Épinard, cuit",140,"0,1","2,14",< 10,"0,43",40,396,< 10,"27,6","0,65","2,4","2,1","0,06",125,0
légumes,"Haricot mungo germé ou pousse de ""soja"", appertisé, égoutté","13,4","0,047","0,26","2,55","0,039",26,"31,5",< 10,141,"0,11","0,065","0,65","0,031",26,0
légumes,"Haricot vert, cuit","55,3","0,081","0,6",< 5,"0,19",36,174,< 10,"5,8","0,2","0,45",5,"< 0,05",33,0
légumes,"Navet, cuit","37,3","0,045","0,11",< 10,"0,045",26,237,< 10,29,"0,099","0,02","5,6","0,06",9,0
légumes,"Oignon, cuit","29,2","0,077","0,21",1,"0,12",44,220,< 10,"8,4","0,19","0,015","2,1","0,09",21,0
légumes,"Petits pois, appertisés, égouttés","20,6","0,079","1,29","0,9","0,17","73,1","71,5","< 3,35",257,"0,42","0,21","6,9","0,053","26,5",0
légumes,"Petits pois, cuits","32,7","0,14","1,17",< 5,"0,32",96,135,< 10,"7,1","0,8","< 0,1","1,8","< 0,05","65,6",0
légumes,"Poireau, cuit","25,6","0,12","0,34",< 10,"0,075",20,151,< 10,"5,8","0,1","0,5","1,3","0,06","21,2",0
légumes,"Potiron, appertisé, égoutté",26,"0,11","1,39","0,7","0,15",35,206,-,241,"0,17","1,06","4,2","0,056",12,0
légumes,"Salsifis, cuit",47,"0,07","0,55","0,2","0,21",56,283,-,16,"0,3","0,19","4,6","0,22",15,0
légumes,"Tomate, pelée, appertisée, égouttée","21,1","0,06","0,77","0,2","0,073",18,190,"< 2,2",112,"0,11","0,67",12,"0,11",16,0
légumes,"Maïs doux, en épis, cuit",3,"0,049","0,45",1,"0,17",77,218,traces,1,"0,62","0,09","5,5","0,14",23,0
légumes,"Macédoine de légumes, appertisée, égouttée","40,7","0,072","1,05","0,2","0,15",42,291,"< 2,2",243,"0,28","0,29",5,"0,079",24,0
légumes,"Épinard, appertisé, égoutté",127,"0,18","2,3","2,79","0,6",44,346,"1,35",322,"0,46","1,25","14,3","0,1",98,0
légumes,"Haricot vert, appertisé, égoutté","42,7","0,13","0,81","1,6","0,094","25,3",94,"0,9",261,"0,23","0,14","3,1","0,03","20,5",0
légumes,"Haricot beurre, appertisé, égoutté",25,"0,044","0,9","0,6","0,2",19,104,"0,43",265,"0,3","0,29","4,1","0,034",66,0
légumes,"Maïs doux, appertisé, égoutté","3,51","0,036","0,35","0,5","0,11","53,8",224,< 10,236,"0,39","0,29","3,55","0,13",75,0
légumes,"Artichaut, appertisé, égoutté",-,-,-,-,-,-,-,-,320,-,-,-,-,-,-
légumes,"Tomate, concentré, appertisé","45,6","< 0,1","1,2","4,4","< 0,1",103,1010,"0,4",108,"< 0,1","5,7","2,6","0,09",58,0
légumes,"Haricot vert, surgelé, cuit",51,"0,059","0,68","0,4","0,29",29,159,"0,4","1,5","0,24","0,04","11,6","0,06",23,0
légumes,"Artichaut, cuit à la vapeur sous pression",42,"0,05","0,7",< 20,"0,17",56,480,< 20,27,"0,27","< 0,08","< 0,5","0,086","52,6",-
légumes,"Asperge, appertisée, égouttée","15,8","0,076","1,09","0,7","0,16",35,142,"0,2",291,"0,42","0,74","18,4","0,11",72,0
légumes,"Chou de Bruxelles, appertisé, égoutté","26,3","0,03","0,7",1,"0,1",53,252,"1,5",222,"0,2","0,69",18,-,-,0
légumes,"Céleri branche, appertisé, égoutté","29,2","0,04",-,"0,2","0,11",-,281,1,213,"0,14",-,-,-,-,-
légumes,"Champignon de Paris ou champignon de couche, appertisé, égoutté","22,2","0,17","0,9",< 5,"0,027",47,"72,1",< 1,251,"0,44",0,"6,5","0,025","29,6",0
légumes,"Salsifis, appertisé, égoutté",21,-,-,"0,2",-,-,173,"0,6",235,-,-,-,-,-,-
légumes,"Poivron vert, cuit",9,"0,065","0,46",1,"0,12",18,166,traces,2,"0,12","0,5","74,4","0,23",16,0
légumes,"Poivron rouge, cuit",9,"0,01",-,1,"0,1",26,180,traces,-,"0,2","0,9",81,"0,31",11,-
légumes,"Petits pois et carottes, appertisés, égouttés",23,"0,1","0,75",2,"0,36",46,100,-,244,"0,58",traces,"6,6","0,088",18,0
légumes,"Chou-rave, bouilli/cuit à l'eau",25,"0,13","0,4",-,"0,14",45,340,-,21,"0,31","0,52",54,"0,15",12,0
légumes,"Chou rouge, bouilli/cuit à l'eau","54,6","0,034","0,66","1,35","0,16",33,262,"< 2,97",28,"0,14","0,12","34,4","0,23",24,0
légumes,"Potiron, cuit",13,"0,04","0,18",< 20,"0,04",21,230,< 20,< 5,"0,1","0,24","0,84","0,058",< 5,0
légumes,"Champignon de Paris ou champignon de couche, bouilli/cuit à l'eau",6,"0,5","1,74",-,"0,12",87,356,"11,9",2,"0,87","0,01",4,"0,095",18,0
légumes,"Fenouil, bouilli/cuit à l'eau",43,"0,16","0,2",10,"0,14","17,3",270,"< 3,6","58,1","0,18","0,32","1,6","0,12","31,8",0
légumes,"Épinard, surgelé, cuit",153,"0,16","1,96",-,"0,72",50,302,-,97,"0,49","3,54","2,2","0,14",121,0
légumes,"Chou-fleur, surgelé, cuit",17,"0,024","0,41","0,1","0,15",24,139,traces,18,"0,13","0,06","31,3","0,088",41,0
légumes,"Petits pois, surgelés, cuits",24,"0,11","1,52",-,"0,28",77,110,1,72,"0,67","0,03","9,9","0,11",59,0
légumes,"Champignon de Paris ou champignon de couche, sauté/poêlé, sans matière grasse","2,7","0,39","0,31",< 20,"0,05",140,540,< 20,11,"0,81","< 0,08","< 0,5","0,029","14,3",0
légumes,"Panais, cuit",37,"0,14","0,58",-,"0,29",69,367,-,10,"0,26",1,13,"0,093",58,0
légumes,Fondue de poireau,-,-,-,-,-,-,-,-,200,-,-,-,-,-,-
légumes,"Courge doubeurre (butternut), pulpe, cuite",19,"0,036","0,58",-,"0,17",14,133,-,2,"0,12",-,"3,5","0,069",16,0
légumes,"Courge spaghetti, pulpe, cuite",21,"0,035","0,34",-,"0,11",14,117,-,18,"0,2","0,12","3,5","0,099",8,0
légumes,"Artichaut, coeur, appertisé, égoutté",25,"0,07","0,4",< 20,"0,13",34,150,< 20,310,"0,28","1,12","12,2","0,026","54,3",-
légumes,"Artichaut, fond, appertisé, égoutté",36,"0,06","0,36",< 20,"0,05",26,140,< 20,293,"0,2","0,42",18,"0,22","53,6",-
légumes,"Tétragone cornue, cuite",48,"0,077","0,66",-,"0,53",22,102,-,107,"0,31","1,23",16,"0,24",8,0
légumes,"Rutabaga, cuit",18,"0,029","0,18",-,"0,097",41,216,-,5,"0,12","0,24","18,8","0,1",15,0
légumes,"Tomate, pulpe, appertisée",20,"0,08","0,39",< 20,"0,08",20,260,< 20,"27,1","0,09","1,3","10,5","0,083","30,2",0
légumes,"Tomate, purée, appertisée","19,9","0,15","0,6","2,2","0,16","41,9",798,"0,4",239,"0,2","2,3",9,"0,18",72,0
légumes,"Bambou, pousses, appertisées, égouttées",17,"0,098","0,24",-,"0,14","26,8",196,-,"74,1","0,56","0,63","1,1","0,12","2,5",0
légumes,"Brocoli, surgelé, cuit",51,"0,043","0,61",-,"0,33",55,180,-,24,"0,3","1,32","40,1","0,13",30,0
légumes,"Chou de Bruxelles, surgelé, cuit",26,"0,034","0,48",-,"0,21",56,290,-,15,"0,24","0,51","45,7","0,29",101,0
légumes,"Carotte, surgelée, cuite",35,"0,082","0,53",-,"0,17",31,192,-,59,"0,35","1,01","2,3","0,084",11,0
légumes,"Champignon, lentin comestible ou shiitaké, cuit",3,"0,9","0,44",-,"0,2",29,117,-,4,"1,33",0,"0,3","0,16",21,0
légumes,"Petits pois et carottes, surgelés, cuits",23,"0,076","0,94",-,"0,2",49,158,-,68,"0,45","0,52","8,1","0,087",26,0
légumes,"Pois mange-tout ou pois gourmand, bouilli/cuit à l'eau",35,"0,08","0,46",< 20,"0,18",40,100,< 20,5,"0,28","0,59","20,6","0,022",56,0
légumes,"Chou frisé, cuit",72,"0,16","0,9",-,"0,42",28,228,-,23,"0,24","0,85",41,"0,14",13,0
légumes,"Chou chinois (pak-choi ou pé-tsai), cuit","62,5","0,024","0,67",-,"0,15",34,298,-,"21,5","0,18","0,09","20,9","0,17",47,0
légumes,"Cardon, cuit",72,-,"0,73",-,"0,13",23,392,-,176,"0,18",-,"1,7","0,042",22,0
légumes,"Tomate, pulpe et peau, bouillie/cuite à l'eau",11,"0,075","0,68","1,5","0,11",28,218,"0,18",11,"0,14","0,56","22,8","0,079",13,0
légumes,"Pois mange-tout ou pois gourmands, cuits",59,"0,09","2,4",-,"0,28",58,217,-,5,"0,49","0,47",22,"0,17",35,0
légumes,"Échalote, cuite",28,"0,11","0,34",< 20,"0,15",76,400,< 50,"12,5","0,32","0,12","2,25","0,19","12,9",-
légumes,"Haricots verts, purée",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
légumes,"Légumes (3-4 sortes en mélange), purée",47,"0,12","0,67",< 20,"0,18",42,260,< 20,252,"0,33","0,43","< 0,5","0,048",19,"0,019"
légumes,"Brocoli, purée",87,-,"0,9",-,-,-,-,-,"7,93",-,-,90,-,-,-
légumes,"Tomate, coulis, appertisé (purée de tomates mi-réduite à 11%)",-,-,-,-,-,-,-,-,350,-,-,-,-,-,-
légumes,"Carotte, purée",30,"0,06","0,32",< 20,"0,1",25,230,< 20,52,"0,23","1,16","< 0,5","0,056","14,3",-
légumes,"Courgette, purée",-,-,-,-,-,-,-,-,220,-,-,-,-,-,-
légumes,"Tomate, double concentré, appertisé",-,-,-,-,-,-,-,-,329,-,-,-,-,-,-
légumes,"Macédoine de légumes, surgelée, pré-cuite (à recuire)",-,-,-,-,-,-,-,-,"12,7",-,-,-,-,-,-
légumes,"Poivron rouge, appertisé, égoutté",25,"0,098","0,63",-,"0,12",19,156,-,440,"0,15","1,65",109,"0,23",34,0
légumes,"Asperge blanche, bouillie/cuite à l'eau",15,"0,09","0,26",< 20,"0,07",29,120,< 20,5,"0,3","0,39","5,16","0,029","66,8",-
légumes,"Céleri-rave, purée",50,-,"0,5",-,-,-,-,-,"54,5",-,-,"8,3",-,-,-
légumes,"Petits pois, purée",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
légumes,"Épinard, purée",-,-,-,-,-,-,-,-,289,-,-,-,-,94,-
légumes,"Tomate, pulpe et peau, rôtie/cuite au four",10,"0,05","0,25",< 20,"0,23",30,300,< 20,< 5,"0,15","0,98","14,5","0,1",30,-
légumes,"Chou romanesco ou brocoli à pomme, cuit",32,"0,05","0,53",< 20,"0,19",55,260,< 20,< 5,"0,32","0,74","15,1","0,13","49,1",-
légumes,"Potimarron, pulpe, cuit à l'étouffée",18,"0,08","0,24",< 20,"0,05",33,430,< 20,< 5,"0,27","1,25","10,9","0,15","24,7",-
