ssgrp_nom,Food name,Calcium Ca,Cuivre Cu,Fer Fe,Iode I,Manganèse Mn,Phosphore P,Potassium K,Sélénium Se,Sodium Na,Zinc Zn,Vitamine E,Vitamine C ,Vitamine B6 ,Vitamine B9 ,Vitamine B12 
soupes,"Soupe au cresson, préemballée à réchauffer",-,-,-,-,-,-,-,-,310,-,-,-,"0,25",30,-
soupes,"Soupe aux légumes avec fromage, préemballée à réchauffer",-,-,-,-,-,-,-,-,268,-,-,11,"0,3",30,-
soupes,"Soupe aux légumes verts, préemballée à réchauffer",24,"0,02","0,27",< 20,"0,06",24,120,< 20,280,"0,18","0,28",9,"0,25","27,5",-
soupes,"Soupe aux légumes verts, déshydratée reconstituée",12,"0,02","0,11",< 20,"0,03",15,50,< 20,264,"0,09","0,18","6,15","0,033","7,6",-
soupes,"Soupe aux pois cassés, préemballée à réchauffer",-,-,-,-,-,-,-,-,279,-,-,-,-,-,-
soupes,"Soupe froide type Gaspacho ou Gazpacho, préemballée",11,"0,04","0,11",< 20,"0,06",25,210,< 20,293,"0,1","1,31","1,98","0,041",< 5,-
soupes,"Soupe aux asperges, préemballée à réchauffer",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
soupes,Soupe (aliment moyen),"27,8","0,04","0,27","16,5","0,064","24,9",108,"9,35",296,"0,18","0,48","5,04","0,1","15,8","0,24"
soupes,"Soupe miso, déshydratée reconstituée",18,"0,06","0,19",70,"0,08",19,49,< 20,438,"0,11","0,26",-,"< 0,01","16,5","1,98"
plats composés,Tripes à la mode de Caen,23,-,"1,1",6,-,-,"42,5",-,423,"0,64","0,47",0,"0,023",-,"1,2"
plats composés,"Tripes à la mode de Caen, préemballées","23,6",-,"0,9",-,-,-,"34,6",-,421,"2,1",-,-,-,-,-
plats composés,Tripes à la tomate ou à la provençale,-,-,-,-,-,-,-,-,492,-,-,-,-,-,-
plats composés,Blanquette de veau,15,"0,07","0,92",< 20,"0,04",110,190,< 20,295,"3,2","0,37","< 0,5","0,074","23,3","1,59"
plats composés,Boeuf bourguignon,"16,9","0,053","1,75","3,8","0,054",215,230,"< 2,58",354,"2,91","0,6","0,8","0,23",11,"0,6"
plats composés,"Sauté d'agneau au curry, préemballé","17,5","0,07","2,15",-,"0,04",181,200,-,514,"2,77",-,-,-,-,-
plats composés,"Canard en sauce (poivre vert, chasseur, etc.), préemballé",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
plats composés,"Lapin à la moutarde, préemballé",-,-,-,-,-,-,-,-,480,-,-,-,-,-,-
plats composés,Coq au vin,14,"0,03","1,3","3,3","0,14",128,145,"0,11",420,"0,21","0,48","1,5","0,17",31,"1,4"
plats composés,Paupiette de veau,"27,6","0,088",1,"5,54","0,18",133,272,"3,26",510,"1,25","0,68","1,34","0,28","14,3","0,41"
plats composés,Paupiette de volaille,"27,6","0,083","1,03","5,4","0,18",130,264,"6,08",251,"1,09","0,69","1,33","0,31","13,8","0,28"
plats composés,Viande en sauce (aliment moyen),"17,1","0,064","1,13","7,06","0,07",142,198,"6,17",341,"2,4","0,81","1,27","0,16","14,8","0,74"
